Language,Label,ILL_scope,T_scope,Finiteness,ILL_mark,T_mark,Symmetry,WH,Extraction,FOC,Position,Layer
Amele ,BUT ,local ,local ,finite ,banned ,ok ,symmetrical ,NA ,NA ,NA ,fixed:pre-main ,ad-S 
Amele ,CHAIN ,conjunct ,conjunct ,nonfinite ,banned ,banned ,asymmetrical ,NA ,NA ,NA ,fixed:pre-main ,ad-S 
Amele ,COND ,disjunct ,extensible ,any ,ok ,ok ,constraint-free ,ok ,NA ,NA ,flexible-relational ,ad-S 
Amele ,OR ,conjunct ,local ,finite ,ok ,ok ,symmetrical ,NA ,NA ,NA ,fixed:pre-main ,ad-S 
Amele ,PURP ,disjunct ,extensible ,any ,banned ,ok ,asymmetrical ,NA ,NA ,NA ,fixed:pre-main ,ad-S 
Belhare ,AND ,constraint-free ,local ,finite ,ok ,ok ,symmetrical ,NA ,banned ,banned ,flexible-adjacent ,ad-S 
Belhare ,CHAIN ,constraint-free ,extensible ,finite ,harmonic ,ok ,asymmetrical ,ok ,possible ,ok ,flexible-adjacent ,ad-S 
Belhare ,COM ,local ,conjunct ,finite ,banned ,harmonic ,asymmetrical ,ok ,banned ,ok ,flexible-relational ,ad-V 
Belhare ,CVB ,constraint-free ,conjunct ,nonfinite ,ok ,banned ,asymmetrical ,ok ,banned ,ok ,flexible-adjacent ,ad-V 
Belhare ,INCONSEQ ,local ,extensible ,nonfinite ,ok ,banned ,asymmetrical ,ok ,banned ,ok ,flexible-adjacent ,ad-S 
Belhare ,PURP ,constraint-free ,conjunct ,nonfinite ,ok ,banned ,asymmetrical ,ok ,banned ,ok ,flexible-adjacent ,ad-V 
Belhare ,SUB ,disjunct ,extensible ,finite ,banned ,ok ,constraint-free ,ok ,banned ,ok ,flexible-relational ,ad-S 
Burúshaski ,CHAIN ,constraint-free ,extensible ,nonfinite ,NA ,banned ,asymmetrical ,NA ,NA ,banned ,flexible-adjacent ,ad-S 
