Glottocode	Name	Family_ID	Macroarea	Longitude	Latitude	Endangerment	English_variety_outside_Eurasia
kolp1236	Kol (Papua New Guinea)	NA	Papunesia	151.583	-5.21042	Shifting	0
tana1288	Tanahmerah	NA	Papunesia	133.18	-2.5523	Shifting	0
touo1238	Touo	NA	Papunesia	157.296	-8.58405	Shifting	0
bert1248	Berta	NA	Africa	34.7042	10.6474	Shifting	0
sius1254	Siuslaw	NA	North America	-124.379	42.5111	Extinct	0
cent2045	Jalaa	NA	Africa	11.5853	9.59433	Extinct	0
else1239	Elseng	NA	Papunesia	140.418	-3.00176	Shifting	0
taia1239	Taiap	NA	Papunesia	144.506	-4.05047	Moribund	0
pyuu1245	Pyu	NA	Papunesia	141.018	-4.45003	Shifting	0
mato1253	Mato Grosso Arára	NA	South America	-60.628867	-9.172609	Extinct	0
tabo1241	Tabo	NA	Papunesia	143.305	-8.09387	Shifting	0
kano1245	Kanoê	NA	South America	-64.5812	-12.1789	Nearly extinct	0
kunz1244	Kunza	NA	South America	-69	-23	Extinct	0
usku1243	Usku	NA	Papunesia	140.502	-3.63853	Shifting	0
mose1249	Mosetén-Chimané	NA	South America	-67.83756	-14.64448	Threatened	0
atac1235	Atacame	NA	South America	-79.778137	0.834931	Extinct	0
tini1245	Tinigua	NA	South America	-73.768	2.716	Nearly extinct	0
pele1245	Pele-Ata	NA	Papunesia	151.05	-5.58045	Shifting	0
hrus1242	Hruso	NA	Eurasia	92.63	27.27	Shifting	0
beot1247	Beothuk	NA	North America	-57	48	Extinct	0
kena1236	Kenaboi	NA	Eurasia	102.01596	3.154162	Extinct	0
niha1238	Nihali	NA	Eurasia	76.3318	21.1886	Shifting	0
omur1241	Omurano	NA	South America	-75.4	-4.816667	Extinct	0
wadj1254	Wadjiginy	NA	Australia	130.737	-12.8596	Moribund	0
seri1257	Seri	NA	North America	-112.384	28.9877	Shifting	0
duna1248	Duna	NA	Papunesia	142.475	-5.41439	Not endangered	0
vile1241	Vilela	NA	South America	-58.9661	-27.4063	Extinct	0
shab1252	Shabo	NA	Africa	35.223	7.64407	Moribund	0
sali1253	Salinan	NA	North America	-121.718	37.6646	Extinct	0
come1251	Comecrudan	NA	North America	-98.4667	26.1333	Extinct	0
tamb1257	Tambora	NA	Papunesia	118	-8.25	Extinct	0
coah1252	Coahuilteco	NA	North America	-97.89	28.2589	Extinct	0
bilu1245	Bilua	NA	Papunesia	156.663	-7.92388	Shifting	0
muni1258	Muniche	NA	South America	-76.426712	-5.7441796	Extinct	0
taus1253	Taushiro	NA	South America	-75.5603	-3.22497	Nearly extinct	0
cand1248	Candoshi-Shapra	NA	South America	-76.9347	-4.23835	Shifting	0
guam1236	Guamo	NA	South America	-67.4018753	8.2351027	Extinct	0
ando1256	Andoque	NA	South America	-72.0869	-0.53751	Shifting	0
guac1239	Guachi	NA	South America	-57.5663223	-19.5572257	Extinct	0
etru1241	Etruscan	NA	Eurasia	12.4833	41.9	Extinct	0
yele1255	Yele	NA	Papunesia	154.127	-11.3796	Shifting	0
kari1254	Kariri	NA	South America	-40.487275	-7.434628	Extinct	0
yuru1243	Yurumanguí	NA	South America	-76.522636	3.436864	Extinct	0
abis1238	Aewa	NA	South America	-75.084405	-1.284096	Extinct	0
moro1289	Marori	NA	Papunesia	140.688	-8.5692	Shifting	0
oyst1235	Oyster Bay-Big River-Little Swanport	NA	Australia	147.50061	-42.307378	Extinct	0
savo1255	Savosavo	NA	Papunesia	159.814	-9.12853	Shifting	0
shom1245	Shom Peng	NA	Eurasia	93.8064	7.02099	Shifting	0
buru1296	Burushaski	NA	Eurasia	74.8236	36.2161	Shifting	0
kwaz1243	Kwaza	NA	South America	-61.1833	-11.6667	Moribund	0
yuch1247	Yuchi	NA	North America	-86.75	35.75	Nearly extinct	0
morb1239	Mor (Bomberai Peninsula)	NA	Papunesia	132.845	-2.85747	Moribund	0
siam1242	Siamou	NA	Africa	-4.92143	10.998	Not endangered	0
wara1303	Warao	NA	South America	-59.3528	7.50851	Threatened	0
guai1237	Guaicurian	NA	North America	-110.3	24.1666666667	Extinct	0
yuwa1244	Hoti	NA	South America	-65.4267	5.63879	Shifting	0
tall1235	Tallán	NA	South America	-80.651093	-5.330824	Extinct	0
guri1248	Guriaso	NA	Papunesia	141.597	-3.5718	Shifting	0
abun1252	Abun	NA	Papunesia	132.416	-0.57073	Shifting	0
elam1244	Elamite	NA	Eurasia	48.2333	31.1833	Extinct	0
tuxa1239	Tuxá	NA	South America	-38.2742287	-8.953642	Extinct	0
puqu1242	Puquina	NA	South America	-69.9611	-15.8992	Extinct	0
boga1247	Bogaya	NA	Papunesia	142.255	-5.54487	Shifting	0
nara1262	Nara	NA	Africa	37.499	15.3251	Not endangered	0
urar1246	Urarina	NA	South America	-75.4211	-4.44006	Shifting	0
wiru1244	Wiru	NA	Papunesia	144.214	-6.35863	Threatened	0
trum1247	Trumai	NA	South America	-53.5717	-11.8119	Nearly extinct	0
sume1241	Sumerian	NA	Eurasia	45.6667	31.3	Extinct	0
leco1242	Leco	NA	South America	-67.8818	-15.0092	Extinct	0
